Date,Mkt-RF,SMB,HML,RF
19701120,0.17,-1.91,-0.19,0.114
19701127,2.62,-0.88,0.39,0.114
19701204,4.27,1,0.41,0.106
19701211,0.77,-0.28,-0.45,0.106
19701218,-0.12,-0.02,0.45,0.106
19701224,0.63,1.61,0.1,0.106
19701231,1.7,1.16,0.35,0.106
19710108,0.48,2.25,2.21,0.095
19710115,1.37,2.17,0.74,0.095
19710122,1.86,1,-0.74,0.095
19710129,1.04,1.6,-0.81,0.095
19710205,1.64,1.78,-0.91,0.083
19710212,1.57,1.31,0.39,0.083
19710219,-1.86,-0.93,0.58,0.083
19710226,0.08,-0.27,-1.33,0.083
19710305,2.48,1.45,-1.01,0.074
19710312,0.63,0.55,-0.99,0.074
19710319,1.54,0.47,-1.17,0.074
19710326,-0.94,0.05,-0.3,0.074
19710402,0.63,-0.11,-1.02,0.069
19710408,1.32,-0.14,0.49,0.069
19710416,1.21,-0.27,1.32,0.069
19710423,0.42,-0.51,-0.21,0.069
19710430,-0.13,0.49,-0.34,0.069
19710507,-0.95,-0.14,-0.49,0.073
19710514,-0.59,-0.1,-0.1,0.073
19710521,-1.34,-0.83,-0.21,0.073
19710528,-1.17,-0.09,-0.67,0.073
19710604,1.87,0.85,-0.53,0.093
19710611,-0.41,-0.83,-0.47,0.093
19710618,-2.19,-1.79,-0.74,0.093
19710625,-1.05,-0.02,0.02,0.093
19710702,1.91,0.5,-0.3,0.1
19710709,1.07,0.21,-0.55,0.1
19710716,-1.53,0.17,0.43,0.1
19710723,-0.38,-0.7,0.09,0.1
19710730,-3.85,-1.56,0.39,0.1
19710806,-1.25,-0.26,0.41,0.117
19710813,1.54,-0.41,-0.36,0.117
19710820,2.58,0.77,1.44,0.117
19710827,2.02,-0.62,1.05,0.117
19710903,0.24,0.67,0.26,0.092
19710910,-0.17,0.73,-0.75,0.092
19710917,-0.65,-0.27,-0.82,0.092
19710924,-1.81,-0.12,-0.66,0.092
19711001,0.7,0.16,-1.21,0.092
19711008,0.45,-0.11,0.29,0.092
19711015,-1.72,-0.3,0.04,0.092
19711022,-2.36,-0.45,-0.51,0.092
19711029,-1.44,-1.14,-0.14,0.092
19711105,0.19,-0.85,-0.59,0.093
19711112,-2.57,-0.53,-0.43,0.093
19711119,-0.74,-1.17,-0.12,0.093
19711126,0.13,-1.52,-0.53,0.093
19711203,5.86,1.8,-0.54,0.092
19711210,0.94,1.48,-0.3,0.092
19711217,2.4,0.3,-0.18,0.092
19711223,0.39,-0.04,0.18,0.092
19711231,1.44,0.82,0.29,0.092
19720107,1.42,2.12,1.65,0.072
19720114,0.08,1.2,-0.05,0.072
19720121,0.29,0.92,-0.18,0.072
19720128,0.74,1.18,0.47,0.072
19720204,1.03,1.58,-1.27,0.062
19720211,0.14,-0.03,0.14,0.062
19720218,0.25,0.5,-0.52,0.062
19720225,0.87,0.02,-0.55,0.062
19720303,1.91,-0.05,-1.17,0.068
19720310,0.52,0.8,-0.34,0.068
19720317,-0.61,-0.8,0.42,0.068
19720324,-0.43,-0.9,-0.31,0.068
19720330,-0.32,0.4,-0.47,0.068
19720407,2.34,0.17,-0.26,0.072
19720414,0.31,0.98,-0.25,0.072
19720421,-1.05,-0.53,1.11,0.072
19720428,-1.28,-0.41,-0.53,0.072
19720505,-1.15,-1.6,-0.26,0.075
19720512,-0.17,-0.37,-0.07,0.075
19720519,2.33,-0.09,-1.28,0.075
19720526,1.36,-0.32,-1.57,0.075
19720602,-0.76,-0.08,0.09,0.073
19720609,-2.62,0.11,-0.47,0.073
19720616,1.1,-0.23,-0.85,0.073
19720623,-0.23,-0.14,-0.5,0.073
19720630,-0.99,0.25,-0.31,0.073
19720707,1.33,-0.23,-0.62,0.078
19720714,-1.98,-0.83,1.04,0.078
19720721,-0.41,-1.03,1.06,0.078
19720728,0.35,-0.61,-0.59,0.078
19720804,2.8,-1.52,-1.51,0.071
19720811,1.33,-0.56,-0.18,0.071
19720818,-0.11,-0.59,2.81,0.071
19720825,-1.09,-0.76,2.84,0.071
19720901,0.61,-0.73,0.28,0.085
19720908,-1.38,-0.42,0.99,0.085
19720915,-1.4,-0.82,0.41,0.085
19720922,-0.46,-0.8,0.46,0.085
19720929,1.72,-0.77,-1.26,0.085
19721006,-1,-1.35,1.45,0.099
19721013,-1.65,0.03,0.61,0.099
19721020,1,-1.1,-0.13,0.099
19721027,1.26,0.03,-0.4,0.099
19721103,3.27,-1.2,-0.22,0.093
19721110,-0.31,-0.2,2.15,0.093
19721117,1.41,-1.04,0.83,0.093
19721124,1.33,-0.37,1.76,0.093
19721201,0.37,1.65,-0.39,0.094
19721208,1.03,0.29,-1.47,0.094
19721215,-0.7,-1.35,-0.12,0.094
19721222,-1.95,-0.27,0.07,0.094
19721229,1.63,-0.81,-0.57,0.094
19730105,1.26,1.19,0.16,0.109
19730112,-0.71,-1.55,1.33,0.109
19730119,-0.89,-1.2,-0.16,0.109
19730126,-2.44,-1.18,0.48,0.109
19730202,-2.11,-1.03,0.98,0.104
19730209,0.12,-0.68,-1.3,0.104
19730216,-0.17,-0.87,0.54,0.104
19730223,-1.88,-1.4,1.68,0.104
19730302,-1.25,-1.83,1.13,0.114
19730309,1.42,0.44,-0.82,0.114
19730316,-0.6,-1.28,1.05,0.114
19730323,-4.47,-1.03,2.65,0.114
19730330,2.27,-0.14,-0.52,0.114
19730406,-2.58,-0.85,1.35,0.13
19730413,2.25,-1.5,1.01,0.13
19730419,-0.31,-0.96,1.27,0.13
19730427,-4.8,-0.59,2.12,0.13
19730504,3.21,-1.69,-0.94,0.127
19730511,-2.22,0.78,-0.04,0.127
19730518,-4.63,-2.61,1.64,0.127
19730525,3.39,-3.23,-1.5,0.127
19730601,-3.71,-0.18,1.67,0.128
19730608,2.32,-1.85,-0.72,0.128
19730615,-1.71,1.18,0.7,0.128
19730622,-1.57,-1.03,0.57,0.128
19730629,0.38,-1.16,0.21,0.128
19730706,-2.74,0.9,2.03,0.159
19730713,3.22,2.2,-1.96,0.159
19730720,3.65,3.21,-3.6,0.159
19730727,2.06,1.1,-1.92,0.159
19730803,-2.71,-0.05,0.46,0.174
19730810,-1.72,-0.27,0.06,0.174
19730817,-2.29,-0.55,1.41,0.174
19730824,-0.9,-0.81,0.15,0.174
19730831,2.54,-0.42,-0.42,0.174
19730907,0.84,0.38,0.96,0.17
19730914,-0.52,0.49,-0.74,0.17
19730921,3.12,0.88,0.28,0.17
19730928,1.24,1.04,1.6,0.17
19731005,1.27,2.17,1.36,0.163
19731012,1.15,0.09,-1.24,0.163
19731019,-1.31,-0.59,0.28,0.163
19731026,0.4,-1.62,0.48,0.163
19731102,-3.78,-0.47,0.76,0.139
19731109,-2.09,-1.63,1.43,0.139
19731116,-2.12,-3.3,0.51,0.139
19731123,-4.4,-2.03,1.81,0.139
19731130,-3.69,-1.51,0.95,0.139
19731207,0.12,-2.24,0.49,0.159
19731214,-3.44,-1.16,1.97,0.159
19731221,-0.1,-1.2,1.93,0.159
19731228,3.91,-1.16,-0.5,0.159
19740104,2.17,5.06,3.85,0.156
19740111,-4.9,2.77,2.45,0.156
19740118,2.13,0.51,-0.59,0.156
19740125,0.83,0.91,-0.74,0.156
19740201,-1.33,1.22,1,0.145
19740208,-2.88,0.22,1.73,0.145
19740215,-0.48,-0.33,1.02,0.145
19740222,3.17,-1.25,0.12,0.145
19740301,0.47,1.45,-0.34,0.139
19740308,2.15,0.75,-1.66,0.139
19740315,1.48,0.42,-1.08,0.139
19740322,-2.2,0.42,0.47,0.139
19740329,-3.57,0.29,1.75,0.139
19740405,-1.47,0.26,0.45,0.188
19740411,-1.08,-0.28,0.8,0.188
19740419,1.35,-0.46,-0.07,0.188
19740426,-4.33,-0.29,0.4,0.188
19740503,1.17,-0.34,-0.82,0.188
19740510,-0.57,-0.81,-0.51,0.188
19740517,-3.66,0.23,0.09,0.188
19740524,-0.02,-2.11,-1.72,0.188
19740531,-1.52,-0.08,0.3,0.188
19740607,5.83,-0.87,-0.59,0.15
19740614,-1.51,0.77,-0.74,0.15
19740621,-4.52,0.7,0.89,0.15
19740628,-2.37,-0.91,1.1,0.15
19740705,-3.07,-0.58,1.28,0.176
19740712,-1.01,-1.4,0.53,0.176
19740719,0.87,1.04,1.08,0.176
19740726,-1.3,1,1.83,0.176
19740802,-4.7,0.7,1.34,0.148
19740809,3,0.51,0.11,0.148
19740816,-6.32,1.41,2.2,0.148
19740823,-5.47,-0.33,2.37,0.148
19740830,0.26,-2.17,-2.64,0.148
19740906,-1.36,-1.31,1.16,0.201
19740913,-8.48,0.24,1.77,0.201
19740920,7.23,-2.63,-0.82,0.201
19740927,-6.62,3.28,3.06,0.201
19741004,-4.11,0.95,1.24,0.126
19741011,13.46,-3.2,-3.84,0.126
19741018,1.61,0.82,-2.57,0.126
19741025,-2.44,1.04,-0.9,0.126
19741101,4.96,-2.79,-2.52,0.134
19741108,2,-0.49,-0.93,0.134
19741115,-3.8,0.92,2.06,0.134
19741122,-4.1,-0.63,0.23,0.134
19741129,1.49,-0.99,-1.66,0.134
19741206,-7.28,-0.18,1.3,0.174
19741213,2.45,-3.72,-0.79,0.174
19741220,-0.68,-0.93,-0.01,0.174
19741227,0.21,-0.31,-0.06,0.174
19750103,5.45,0.93,2.37,0.145
19750110,3.34,2.84,3.3,0.145
19750117,-1.57,3.59,0.78,0.145
19750124,2.42,-0.15,1.24,0.145
19750131,5.26,2.35,-1.05,0.145
19750207,2.39,1.07,-1.86,0.109
19750214,3.3,-0.78,-2.67,0.109
19750221,1.14,-0.55,-0.18,0.109
19750228,-1.34,0.39,0.27,0.109
19750307,3.31,0.09,1.28,0.103
19750314,0.93,2.93,0.72,0.103
19750321,-1.33,0.79,0.44,0.103
19750327,0.32,-0.52,-0.21,0.103
19750404,-3.2,1.65,-0.03,0.109
19750411,3.52,-1.52,-0.54,0.109
19750418,2.44,0.21,-0.2,0.109
19750425,0.42,0.56,0.61,0.109
19750502,2.6,-1.78,-1.7,0.109
19750509,2.04,1.3,-0.94,0.109
19750516,-0.1,0.78,-0.3,0.109
19750523,0.2,1.15,-1.55,0.109
19750530,0.83,1.12,-0.18,0.109
19750606,1.55,0.65,-0.43,0.102
19750613,-1.99,-0.23,1.05,0.102
19750620,2.38,-1,0.36,0.102
19750627,2.36,0.68,-0.07,0.102
19750703,-0.42,1.55,0.25,0.121
19750711,0.54,0.68,2.05,0.121
19750718,-1.25,2.15,1.13,0.121
19750725,-4.44,-0.32,-0.95,0.121
19750801,-1.69,-0.65,-0.23,0.12
19750808,-2.51,-1.39,-0.94,0.12
19750815,0.04,-0.83,-0.24,0.12
19750822,-2.56,-0.57,-0.14,0.12
19750829,3.25,-0.41,0.21,0.12
19750905,-1.62,0.4,0.38,0.131
19750912,-3,0.33,0.68,0.131
19750919,2.72,-1.78,-0.48,0.131
19750926,0.28,0.26,-0.85,0.131
19751003,-0.62,-1.05,-0.18,0.139
19751010,2.43,-1.01,-0.83,0.139
19751017,0.77,-0.47,0.15,0.139
19751024,1.02,-0.66,1.26,0.139
19751031,-1.15,-0.16,0.4,0.139
19751107,0.56,-0.04,0.37,0.102
19751114,1.91,-0.28,0.08,0.102
19751121,-1.58,0.01,1.06,0.102
19751128,1.77,-0.89,0.44,0.102
19751205,-5.08,0.6,-0.08,0.121
19751212,0.78,-1.51,-0.09,0.121
19751219,1.12,-0.11,0.26,0.121
19751226,1.57,-0.85,1.07,0.121
19760102,0.85,0.95,1.93,0.117
19760109,4.68,0.58,1.54,0.117
19760116,2.14,0.75,1.86,0.117
19760123,2.18,1.96,2.35,0.117
19760130,1.81,1.12,0.62,0.117
19760206,-0.74,1.98,0.5,0.084
19760213,0.71,2.38,2.14,0.084
19760220,2.52,1.79,2.35,0.084
19760227,-2.11,0.54,0.52,0.084
19760305,-0.52,0.67,1.16,0.1
19760312,1.57,-0.69,-0.2,0.1
19760319,-0.51,-0.07,-0.4,0.1
19760326,1.94,-0.9,-0.47,0.1
19760402,-0.62,0.36,-0.62,0.105
19760409,-2.14,-0.18,-0.86,0.105
19760415,0.15,-0.94,0.39,0.105
19760423,1.63,0.54,0.91,0.105
19760430,-0.72,-0.05,0.06,0.105
19760507,0.31,-0.32,-0.79,0.093
19760514,-0.36,0.14,1.06,0.093
19760521,-0.13,-0.43,-0.04,0.093
19760528,-1.19,-0.66,-1.5,0.093
19760604,-0.95,-0.23,0,0.109
19760611,1.51,-1.08,-0.54,0.109
19760618,2.75,-0.27,0.66,0.109
19760625,0.07,0.33,0.17,0.109
19760702,0.38,0.26,0.28,0.116
19760709,0.78,0.48,0.41,0.116
19760716,-0.29,0.75,0.03,0.116
19760723,-0.66,-0.32,0.25,0.116
19760730,-0.74,-1.01,0.96,0.116
19760806,0.48,-0.55,0.67,0.105
19760813,0.39,-0.59,-0.04,0.105
19760820,-1.81,-0.14,0.13,0.105
19760827,-0.85,-0.28,-0.01,0.105
19760903,2.59,-0.55,-0.48,0.109
19760910,0.26,0.16,-0.12,0.109
19760917,1.34,-0.51,-0.28,0.109
19760924,0.47,0.3,0.72,0.109
19761001,-2.33,0.45,0.07,0.102
19761008,-1.57,0.06,-0.16,0.102
19761015,-1.68,0.26,-0.15,0.102
19761022,-0.84,0.46,0.67,0.102
19761029,2.62,-0.85,-0.73,0.102
19761105,-1.39,1.22,1.46,0.099
19761112,-1.55,0.34,-0.21,0.099
19761119,2.8,-0.29,0.1,0.099
19761126,1.43,0.45,-0.2,0.099
19761203,-0.21,0.85,0.96,0.101
19761210,2.12,1.02,0.5,0.101
19761217,-0.2,0.48,1.73,0.101
19761223,0.37,0.16,-0.67,0.101
19761231,2.51,0.97,-0.06,0.101
19770107,-1.77,2.7,1.33,0.09
19770114,-0.69,1.07,0.57,0.09
19770121,-0.38,1.11,1.26,0.09
19770128,-1.24,0.44,1.28,0.09
19770204,0.16,0.51,-0.12,0.088
19770211,-1.47,1.08,-0.35,0.088
19770218,0.29,-0.45,0.86,0.088
19770225,-1.13,-0.01,-0.07,0.088
19770304,1.62,-0.65,-0.18,0.094
19770311,-0.39,0.64,0.03,0.094
19770318,0.94,-0.24,0.43,0.094
19770325,-2.49,1.27,0.2,0.094
19770401,-0.11,-0.76,0.61,0.094
19770407,-0.95,-0.05,0.15,0.094
19770415,2.62,-0.61,0.94,0.094
19770422,-2.23,1.35,1.35,0.094
19770429,0,-0.52,0.89,0.094
19770506,1.42,0.15,0.1,0.093
19770513,-0.18,0.64,0.36,0.093
19770520,0.44,0.43,0.09,0.093
19770527,-2.88,0.4,0.28,0.093
19770603,1.2,-0.73,-0.37,0.1
19770610,0.81,0.56,-0.05,0.1
19770617,1.55,0.08,-0.74,0.1
19770624,1.33,0.53,0.26,0.1
19770701,-0.82,1.52,0.5,0.104
19770708,-0.16,0.95,0,0.104
19770715,0.4,0.28,-0.37,0.104
19770722,1.19,0.12,-0.31,0.104
19770729,-2.84,0.23,-0.2,0.104
19770805,0,0.25,-0.7,0.11
19770812,-0.68,0.81,-0.83,0.11
19770819,-0.43,0.65,-1.46,0.11
19770826,-1.28,0.36,0.4,0.11
19770902,1.35,-0.13,-0.25,0.108
19770909,-1.08,0.73,0.32,0.108
19770916,0.06,0.28,-0.59,0.108
19770923,-1.41,0.37,0.35,0.108
19770930,1.36,-0.22,-0.44,0.108
19771007,-0.35,0.66,0.54,0.123
19771014,-2.71,0.13,0.58,0.123
19771021,-1.22,0.53,0.49,0.123
19771028,0.03,-0.35,-0.09,0.123
19771104,-0.69,0.76,0.54,0.125
19771111,4.77,-0.34,-0.93,0.125
19771118,-0.16,1.97,0.4,0.125
19771125,1.66,0.47,-0.22,0.125
19771202,-1.72,1.57,1.01,0.121
19771209,-1.14,0.39,0.28,0.121
19771216,-0.2,0.7,-0.25,0.121
19771223,1.05,-0.76,-0.53,0.121
19771230,0.46,0.23,-0.11,0.121
19780106,-3.65,0.31,1.84,0.122
19780113,-2.18,0.23,1.02,0.122
19780120,0.3,0.83,0.18,0.122
19780127,-1.27,0.9,0.95,0.122
19780203,1.5,1.06,-0.95,0.115
19780210,0.79,0.75,0.02,0.115
19780217,-2.18,1.31,0.62,0.115
19780224,0.68,0.17,-0.15,0.115
19780303,-1.05,0.46,0.88,0.132
19780310,1.66,0.27,-0.43,0.132
19780317,1.48,0.59,-0.05,0.132
19780323,-0.74,1.11,0.51,0.132
19780331,-0.08,1.38,0.82,0.132
19780407,1.19,0.67,-0.51,0.134
19780414,2.92,0.01,-0.84,0.134
19780421,1.33,-0.09,-0.72,0.134
19780428,2.2,-0.25,-1.19,0.134
19780505,0.46,1.79,0.06,0.127
19780512,1.62,1.12,-1.33,0.127
19780519,0.35,1.24,0.21,0.127
19780526,-1.34,0.35,0.36,0.127
19780602,1.45,-0.12,-0.33,0.134
19780609,1.95,1.05,-0.3,0.134
19780616,-2.08,1.62,0.25,0.134
19780623,-1.87,-0.57,0.85,0.134
19780630,-0.57,-0.38,-0.02,0.134
19780707,-0.67,-0.14,-0.13,0.139
19780714,2.56,-0.59,-0.58,0.139
19780721,0.22,1.09,0.33,0.139
19780728,2.17,0.03,-0.35,0.139
19780804,3.86,-1.43,-0.7,0.138
19780811,0.54,2.18,-0.19,0.138
19780818,0.98,1.55,-0.16,0.138
19780825,0.4,1.39,-0.01,0.138
19780901,-0.99,0.85,0.28,0.154
19780908,2.74,-0.2,-0.46,0.154
19780915,-2.27,1.33,0.96,0.154
19780922,-2.75,-1.58,0.98,0.154
19780929,0.48,0.19,0.31,0.154
19781006,0.83,-0.23,0.22,0.17
19781013,0.85,0.11,-0.28,0.17
19781020,-7.43,-4.11,0.92,0.17
19781027,-4.7,-4.01,0.73,0.17
19781103,1.85,-0.63,-1.61,0.175
19781110,-1.35,0.26,0.33,0.175
19781117,-0.47,-1.05,-0.37,0.175
19781124,1.81,1.29,-0.66,0.175
19781201,0.48,0.31,-0.46,0.195
19781208,0.6,0.97,0.12,0.195
19781215,-1.46,0.2,0.19,0.195
19781222,0.57,-0.75,-1.19,0.195
19781229,-0.44,0.59,-0.59,0.195
19790105,3.29,1.28,0.39,0.192
19790112,0.83,1.05,-0.27,0.192
19790119,-0.21,0.79,1.03,0.192
19790126,1.87,-0.44,0.39,0.192
19790202,-2,1.05,0.62,0.183
19790209,-1.52,-0.16,0.65,0.183
19790216,0.83,0.6,-0.1,0.183
19790223,-0.87,0.45,0.32,0.183
19790302,-1,-0.43,0.37,0.203
19790309,2.56,-0.03,0.72,0.203
19790316,1.21,0.66,-0.42,0.203
19790323,0.83,0.78,-0.47,0.203
19790330,0.07,1.27,-0.42,0.203
19790406,1.44,0,0.08,0.198
19790412,-1.03,0.84,0.93,0.198
19790420,-0.83,0.76,-0.06,0.198
19790427,0.41,0.64,0.11,0.198
19790504,-1,0.4,0.02,0.203
19790511,-2.3,-1.19,0.62,0.203
19790518,1.33,-0.15,0.38,0.203
19790525,0.77,1.05,-0.15,0.203
19790601,-1.05,0.05,0.31,0.202
19790608,2.4,0.09,0.26,0.202
19790615,0.65,0.61,0.62,0.202
19790622,0.42,0.49,0.35,0.202
19790629,0.16,-0.25,0.24,0.202
19790706,0.59,-0.13,0.59,0.191
19790713,-1.24,0.82,1.01,0.191
19790720,-0.63,-0.01,0.3,0.191
19790727,1.3,0.52,-0.19,0.191
19790803,1.02,0.68,-0.34,0.191
19790810,2.21,-0.14,-1.27,0.191
19790817,1.73,0.17,0.06,0.191
19790824,0.34,0.52,0.38,0.191
19790831,0.71,0.73,-0.37,0.191
19790907,-1.67,-0.49,0.61,0.207
19790914,1.06,0.63,-0.94,0.207
19790921,0.97,-1.12,-0.52,0.207
19790928,-1.14,0.74,-0.11,0.207
19791005,1.71,0.38,-0.49,0.217
19791012,-6.81,-2.47,-0.37,0.217
19791019,-3.06,-0.37,0.34,0.217
19791026,-1.32,-1.08,-0.79,0.217
19791102,2.23,0.21,-1.03,0.246
19791109,-0.8,0.19,-0.23,0.246
19791116,2.27,-0.04,-0.85,0.246
19791123,0.71,0.33,-1.11,0.246
19791130,1.89,1.99,-0.52,0.246
19791207,1.37,1.11,-0.89,0.237
19791214,1.26,0.78,-1.2,0.237
19791221,-1.1,1.35,0.23,0.237
19791228,0.18,0.52,0,0.237
19800104,-1.47,0.13,0.94,0.199
19800111,3.5,1.09,-0.21,0.199
19800118,0.85,1.13,0.83,0.199
19800125,1.96,-0.37,-0.21,0.199
19800201,1.18,-0.43,0.33,0.221
19800208,2.29,-1.15,1.3,0.221
19800215,-2.21,0.56,-0.67,0.221
19800222,-0.77,-0.97,0.09,0.221
19800229,-1.17,-0.05,-0.17,0.221
19800307,-6.62,-1.29,0.1,0.3
19800314,-1.63,-0.67,-0.19,0.3
19800321,-3.38,-0.88,0.22,0.3
19800328,-3.23,-4.68,-1.06,0.3
19800403,2.15,1.83,-0.47,0.312
19800411,1.39,-0.4,1.3,0.312
19800418,-3.29,0.54,1.21,0.312
19800425,4.15,-1.25,-1.44,0.312
19800502,0.53,0.74,0.59,0.202
19800509,-0.14,1.85,1.17,0.202
19800516,2.41,0.68,-1.13,0.202
19800523,2.9,-0.64,-0.34,0.202
19800530,0.43,-0.34,0.19,0.202
19800606,1.84,0.24,-0.94,0.152
19800613,2.31,-0.33,-0.43,0.152
19800620,-1.34,0.82,0.79,0.152
19800627,1.7,0.24,-0.48,0.152
19800703,1.09,0.4,-1.07,0.132
19800711,0.53,1.32,-0.56,0.132
19800718,3.23,0.9,-2.04,0.132
19800725,-0.96,1.01,-0.28,0.132
19800801,0.69,1.78,-1.68,0.159
19800808,2.02,0.25,-1.15,0.159
19800815,1.78,0.58,-1.02,0.159
19800822,0.61,0.3,-0.42,0.159
19800829,-2.42,1.64,0.39,0.159
19800905,2.18,0.57,-0.45,0.188
19800912,0.72,2.06,-1.85,0.188
19800919,2.73,0.15,-2.66,0.188
19800926,-2.51,-1.18,0.05,0.188
19801003,2.16,-0.82,-2.55,0.237
19801010,0.86,1.42,-0.95,0.237
19801017,0.46,-0.34,-0.26,0.237
19801024,-1.44,0.71,0.94,0.237
19801031,-2.06,0.58,0.04,0.237
19801107,1.07,-1.04,-2.06,0.238
19801114,5.93,-1.77,-3.23,0.238
19801121,1.44,-0.14,-2.48,0.238
19801128,0.86,-0.3,-0.05,0.238
19801205,-4.6,2.21,0.9,0.325
19801212,-4.31,-2.59,2.1,0.325
19801219,3.34,-0.98,0.61,0.325
19801226,1.69,0.25,0.14,0.325
19810102,-0.03,1.21,-0.28,0.258
19810109,-2.68,0.03,3.7,0.258
19810116,0.94,0.72,-0.39,0.258
19810123,-3.37,1.6,0.96,0.258
19810130,-0.54,0.44,1.78,0.258
19810206,0.74,-0.32,0.57,0.266
19810213,-2.79,1.22,1.61,0.266
19810220,-0.84,-0.64,0.48,0.266
19810227,3.59,-0.67,-1.74,0.266
19810306,-0.81,1.87,0.69,0.301
19810313,2.17,-1.05,0.36,0.301
19810320,0.89,1.69,1.37,0.301
19810327,0.45,0.75,-1.59,0.301
19810403,0.66,1.26,0.23,0.268
19810410,-0.43,1.47,0.92,0.268
19810416,-0.23,0.87,0.26,0.268
19810424,0.18,1.2,0.26,0.268
19810501,-1.87,-0.17,0.08,0.287
19810508,-0.77,-0.64,-0.53,0.287
19810515,0.35,0.11,1.2,0.287
19810522,-0.18,1.33,-0.68,0.287
19810529,0.84,1.16,0.03,0.287
19810605,-0.75,0,0.95,0.335
19810612,0.82,-0.11,1.79,0.335
19810619,-1.3,-0.34,2.08,0.335
19810626,0.01,-0.07,-0.05,0.335
19810702,-3.29,0.22,0.8,0.309
19810710,0.01,-1.35,0.02,0.309
19810717,0.79,-0.21,-0.89,0.309
19810724,-2.09,-0.59,0.32,0.309
19810731,1.58,-0.43,-0.6,0.309
19810807,0.76,-0.95,-0.21,0.319
19810814,0.29,-0.41,0.08,0.319
19810821,-2.82,0.23,1.64,0.319
19810828,-4.26,-0.94,2.64,0.319
19810904,-3.69,-0.04,2.13,0.31
19810911,0.82,-1.18,-0.1,0.31
19810918,-4.56,0.77,3.46,0.31
19810925,-3.98,-2.26,3.44,0.31
19811002,5.79,-0.08,-5.11,0.3
19811009,2.07,1.91,-1.8,0.3
19811016,-1.85,1.22,1.3,0.3
19811023,-0.59,0.38,-0.69,0.3
19811030,2.46,-1.26,-1.04,0.3
19811106,1.23,0.73,-0.25,0.266
19811113,-0.9,0.27,3.47,0.266
19811120,0.03,-1.13,0.46,0.266
19811127,2.12,-0.59,-1.02,0.266
19811204,0.5,-0.15,-0.74,0.218
19811211,-1.24,0.16,0.01,0.218
19811218,-0.92,0.3,-0.57,0.218
19811224,-1.1,0.44,0.8,0.218
19811231,-0.24,0.19,0.4,0.218
19820108,-2.49,0.8,2.87,0.198
19820115,-3.07,0.04,1.01,0.198
19820122,-1.06,-0.08,1.46,0.198
19820129,3.45,-2.11,-2.36,0.198
19820205,-1.88,1.68,1.26,0.23
19820212,-2.68,-0.57,2.74,0.23
19820219,-1.09,0.03,-0.31,0.23
19820226,-0.28,-0.53,2.47,0.23
19820305,-3.43,-0.54,6.43,0.244
19820312,-1.37,-1.45,1.91,0.244
19820319,1.66,0.35,-2.67,0.244
19820326,1.39,1.11,-1.99,0.244
19820402,2.31,-0.36,-2.37,0.281
19820408,0.84,0.46,-0.88,0.281
19820416,0.39,0.29,-0.13,0.281
19820423,1.22,-0.02,0.07,0.281
19820430,-1.84,1.51,0.07,0.281
19820507,2.52,-1.1,-0.3,0.264
19820514,-1.03,0.96,-0.13,0.264
19820521,-2.91,-0.2,1.61,0.264
19820528,-2.47,0.48,0.58,0.264
19820604,-1.88,-0.03,0.66,0.238
19820611,0.59,-1.14,-0.17,0.238
19820618,-3.64,0.85,2.11,0.238
19820625,1.42,0,-1.84,0.238
19820702,-1.21,0.69,1.14,0.262
19820709,0.4,-0.96,-0.21,0.262
19820716,1.6,-0.8,-1.44,0.262
19820723,-0.04,0.98,0.16,0.262
19820730,-3.64,0.74,0.62,0.262
19820806,-2.75,0.57,2.8,0.19
19820813,-0.52,-2.69,2.64,0.19
19820820,8.1,-2.8,0.06,0.19
19820827,4.35,1.66,-3.93,0.19
19820903,4.34,-1.48,-1.5,0.128
19820910,-1.04,1.81,0.34,0.128
19820917,1.34,0.24,-0.88,0.128
19820924,0.63,0.14,0.07,0.128
19821001,-1.04,0.62,1.38,0.147
19821008,7,-2.23,-1.36,0.147
19821015,2.03,2.06,-0.73,0.147
19821022,3.97,0.74,-1.86,0.147
19821029,-3.1,2.01,0.56,0.147
19821105,6.49,0.17,-0.87,0.158
19821112,-0.94,3.66,-0.44,0.158
19821119,-1.72,0.64,0.8,0.158
19821126,-1.39,1.14,-0.02,0.158
19821203,2.57,0.16,-1.96,0.168
19821210,0.14,-0.42,-0.52,0.168
19821217,-1.85,-0.91,1.22,0.168
19821223,1.32,-0.23,-0.42,0.168
19821231,0.63,0.24,0.24,0.168
19830107,3.08,0,0.66,0.171
19830114,1.3,1.57,-0.53,0.171
19830121,-1.76,0.78,0.09,0.171
19830128,0.36,0.34,-0.69,0.171
19830204,1.43,0.52,0.37,0.154
19830211,1.09,1.3,-0.37,0.154
19830218,0.51,1.16,-0.87,0.154
19830225,1.11,-0.84,0.64,0.154
19830304,2.32,-0.27,1.4,0.158
19830311,-1.32,1.89,0.81,0.158
19830318,-1.02,0.39,1.05,0.158
19830325,1.8,0.44,-0.44,0.158
19830331,-0.05,-0.02,-0.37,0.158
19830408,-0.43,-0.34,1.53,0.178
19830415,3.81,0.56,-1.09,0.178
19830422,1.07,1.05,0.05,0.178
19830429,2.07,-0.68,0.05,0.178
19830506,1.55,1.66,-0.27,0.172
19830513,-0.28,2.1,0.01,0.172
19830520,-1.33,0.9,-0.63,0.172
19830527,1.81,1.06,-0.74,0.172
19830603,-0.06,0.63,-0.92,0.166
